Date;ETo_FAO_mm
2013-01-01;
2013-01-02;
2013-01-03;0.35
2013-01-04;0.37
2013-01-05;0.04
2013-01-06;0.09
2013-01-07;0.06
2013-01-08;0.03
2013-01-09;0.05
2013-01-10;0.4
2013-01-11;0.38
2013-01-12;0.32
2013-01-13;0.12
2013-01-14;0.19
2013-01-15;0.14
2013-01-16;
2013-01-17;0.08
2013-01-18;0.19
2013-01-19;
2013-01-20;0.11
2013-01-21;0.33
2013-01-22;0.18
2013-01-23;
2013-01-24;
2013-01-25;0.15
2013-01-26;0.52
2013-01-27;0.23
2013-01-28;0.18
2013-01-29;0.2
2013-01-30;0.2
2013-01-31;0.41
2013-02-01;0.12
2013-02-02;
2013-02-03;0.19
2013-02-04;0.37
2013-02-05;0.29
2013-02-06;0.17
2013-02-07;0.27
2013-02-08;0.33
2013-02-09;0.28
2013-02-10;0.34
2013-02-11;0.32
2013-02-12;0.25
2013-02-13;0.14
2013-02-14;0.37
2013-02-15;0.27
2013-02-16;0.26
2013-02-17;0.27
2013-02-18;0.28
2013-02-19;0.52
2013-02-20;0.56
2013-02-21;0.44
2013-02-22;0.28
2013-02-23;0.39
2013-02-24;0.64
2013-02-25;0.45
2013-02-26;0.51
2013-02-27;0.34
2013-02-28;0.81
2013-03-01;1.29
2013-03-02;1.26
2013-03-03;1.27
2013-03-04;0.61
2013-03-05;0.75
2013-03-06;0.89
2013-03-07;1.81
2013-03-08;1.43
2013-03-09;1.1
2013-03-10;1.16
2013-03-11;0.82
2013-03-12;0.87
2013-03-13;0.68
2013-03-14;0.95
2013-03-15;0.88
2013-03-16;1.55
2013-03-17;1.48
2013-03-18;1.54
2013-03-19;0.87
2013-03-20;0.9
2013-03-21;1.17
2013-03-22;1.2
2013-03-23;1.17
2013-03-24;1.39
2013-03-25;1.47
2013-03-26;1.56
2013-03-27;1.37
2013-03-28;1.51
2013-03-29;1.63
2013-03-30;1.84
2013-03-31;1.79
2013-04-01;2.02
2013-04-02;2.03
2013-04-03;2.12
2013-04-04;2.17
2013-04-05;2.27
2013-04-06;1.92
2013-04-07;2.21
2013-04-08;1.93
2013-04-09;2.06
2013-04-10;2.49
2013-04-11;1.35
2013-04-12;0.72
2013-04-13;1.29
2013-04-14;2.26
2013-04-15;1.54
2013-04-16;2.02
2013-04-17;2.8
2013-04-18;1.94
2013-04-19;1.77
2013-04-20;2.58
2013-04-21;2.81
2013-04-22;2.24
2013-04-23;2.44
2013-04-24;1.61
2013-04-25;2.07
2013-04-26;2.38
2013-04-27;2.19
2013-04-28;2.24
2013-04-29;1.74
2013-04-30;2.13
2013-05-01;2.84
2013-05-02;2.91
2013-05-03;3.44
2013-05-04;2.71
2013-05-05;2.84
2013-05-06;3.59
2013-05-07;4.05
2013-05-08;2.51
2013-05-09;1.94
2013-05-10;3.21
2013-05-11;2.86
2013-05-12;2.45
2013-05-13;2.08
2013-05-14;2.25
2013-05-15;3.71
2013-05-16;4.97
2013-05-17;5.18
2013-05-18;5.07
2013-05-19;2.6
2013-05-20;2.52
2013-05-21;2.64
2013-05-22;1.76
2013-05-23;3.25
2013-05-24;4.14
2013-05-25;3.51
2013-05-26;4.46
2013-05-27;3.9
