Well;Date;Value
HK4003U;2021-04-12 11:29;18.22
HK4003U;2021-04-06 11:45;18.24
HK4003U;2021-03-30 12:48;18.2
HK4003U;2021-03-23 10:08;18.25
HK4003U;2021-03-17 10:02;18.31
HK4003U;2021-03-09 13:37;18.14
HK4003U;2021-03-04 09:10;18.16
HK4003U;2021-03-01 09:59;18.17
HK4003U;2021-02-23 11:12;18.17
HK4003U;2021-02-17 10:16;18.14
HK4003U;2021-02-11 14:40;18.16
HK4003U;2021-02-09 12:17;18.19
HK4003U;2021-02-03 11:09;18.28
HK4003U;2021-01-26 09:47;18.4
HK4003U;2021-01-19 11:11;18.33
HK4003U;2021-01-15 11:02;18.45
HK4003U;2021-01-13 12:44;18.45
HK4003U;2021-01-04 14:00;18.41
HK4003U;2020-12-28 10:30;
HK4003U;2020-12-28 10:24;18.66
HK4003U;2020-12-22 13:28;
HK4003U;2020-12-14 13:24;
HK4003U;2020-12-07 13:18;
HK4003U;2020-12-03 10:18;
HK4003U;2020-12-01 13:15;
HK4003U;2020-11-25 13:59;18.52
HK4003U;2020-11-18 10:11;18.45
HK4003U;2020-11-09 09:38;18.4
HK4003U;2020-11-06 10:54;18.45
HK4003U;2020-11-03 14:20;18.51
HK4003U;2020-10-27 08:54;18.37
HK4003U;2020-10-21 13:25;18.33
HK4003U;2020-10-21 11:54;18.33
HK4003U;2020-10-13 12:04;18.39
HK4003U;2020-10-06 12:54;18.31
HK4003U;2020-09-28 10:47;18.26
HK4003U;2020-09-22 11:01;18.17
HK4003U;2020-09-16 09:44;18.19
HK4003U;2020-09-09 11:00;18.13
HK4003U;2020-09-08 11:14;18.13
HK4003U;2020-09-02 10:36;18.13
HK4003U;2020-08-25 10:48;18.17
HK4003U;2020-08-17 13:46;18.22
HK4003U;2020-08-11 09:02;18.22
HK4003U;2020-08-06 10:55;18.27
HK4003U;2020-08-04 09:38;18.28
HK4003U;2020-07-27 12:59;18.24
HK4003U;2020-07-22 14:30;18.16
HK4003U;2020-07-21 09:20;18.16
HK4003U;2020-07-13 11:28;18
HK4003U;2020-07-06 11:04;18.15
HK4003U;2020-06-29 14:35;17.98
HK4003U;2020-06-23 12:00;
HK4003U;2020-06-22 13:25;
HK4003U;2020-06-17 11:53;
HK4003U;2020-06-09 10:55;
HK4003U;2020-06-08 13:58;
HK4003U;2020-06-01 10:28;
HK4003U;2020-05-27 12:58;
HK4003U;2020-05-19 12:04;
HK4003U;2020-05-13 13:24;18.05
HK4003U;2020-05-07 13:27;18.07
HK4003U;2020-05-04 09:26;18.07
HK4003U;2020-04-28 13:39;18.09
HK4003U;2020-04-20 10:38;18.05
HK4003U;2020-04-15 09:11;18.1
HK4003U;2020-04-06 14:50;18.14
HK4003U;2020-04-06 09:13;18.13
HK4003U;2020-03-30 09:42;18.21
HK4003U;2020-03-23 11:08;18.3
HK4003U;2020-03-16 09:59;18.38
HK4003U;2020-03-10 14:03;18.32
HK4003U;2020-03-05 15:09;18.36
HK4003U;2020-03-03 14:18;18.36
HK4003U;2020-02-24 13:47;18.4
HK4003U;2020-02-20 09:15;18.4
HK4003U;2020-02-17 14:20;18.46
HK4003U;2020-02-10 13:56;18.44
HK4003U;2020-02-05 12:25;18.19
HK4003U;2020-01-27 13:30;18.23
HK4003U;2020-01-20 12:55;18.32
HK4003U;2020-01-15 13:25;18.31
HK4003U;2020-01-10 08:47;18.11
HK4003U;2020-01-08 12:13;18.16
HK4003U;2019-12-16 11:27;18.39
HK4003U;2019-12-09 13:09;18.32
HK4003U;2019-12-03 08:52;18.16
HK4003U;2019-12-02 13:00;18.19
HK4003U;2019-11-26 10:20;17.91
HK4003U;2019-11-18 15:48;18.12
HK4003U;2019-11-14 13:32;18.12
HK4003U;2019-11-13 10:34;18.16
HK4003U;2019-11-05 10:10;18.23
HK4003U;2019-10-29 10:37;18.35
HK4003U;2019-10-22 10:18;18.28
HK4003U;2019-10-16 12:11;18.21
HK4003U;2019-10-09 09:18;18.15
HK4003U;2019-10-03 10:41;18.2
HK4003U;2019-10-02 08:54;18.24
HK4003U;2019-09-24 08:20;18.08
HK4003U;2019-09-23 13:29;18.05
HK4003U;2019-09-20 08:02;18.07
HK4003U;2019-09-19 11:08;18.11
HK4003U;2019-09-18 11:03;18.14
HK4003U;2019-09-17 11:08;18.17
HK4003U;2019-09-16 13:58;18.18
HK4003U;2019-09-16 12:01;18.19
HK4003U;2019-09-13 10:32;18.17
HK4003U;2019-09-12 11:33;18.16
HK4003U;2019-09-11 08:55;18.14
HK4003U;2019-09-05 10:00;18.13
HK4003U;2019-09-03 08:20;18.03
HK4003U;2019-08-27 08:13;18.06
HK4003U;2019-08-21 08:14;18.1
HK4003U;2019-08-14 13:05;18.05
HK4003U;2019-08-08 13:55;17.9
HK4003U;2019-08-02 09:02;17.76
HK4003U;2019-07-30 12:47;17.77
HK4003U;2019-07-25 14:32;17.78
HK4003U;2019-07-16 13:29;17.82
HK4003U;2019-07-10 14:27;17.86
HK4003U;2019-07-08 13:10;17.88
HK4003U;2019-07-03 11:59;17.89
HK4003U;2019-06-26 14:42;17.95
HK4003U;2019-06-19 10:27;18.03
HK4003U;2019-06-12 11:30;18.04
HK4003U;2019-06-10 10:30;18.05
HK4003U;2019-06-04 11:41;18.06
HK4003U;2019-05-28 13:20;18.07
HK4003U;2019-05-22 14:11;18.04
HK4003U;2019-05-15 08:59;18.02
HK4003U;2019-05-08 14:58;18.03
HK4003U;2019-05-08 09:06;18.03
HK4003U;2019-04-29 10:06;18.04
HK4003U;2019-04-24 10:58;17.99
HK4003U;2019-04-16 09:55;18.03
HK4003U;2019-04-15 09:36;18.03
HK4003U;2019-04-09 10:17;18.02
HK4003U;2019-04-02 10:30;18.12
HK4003U;2019-03-26 09:52;18.19
HK4003U;2019-03-22 08:34;18.24
HK4003U;2019-03-19 14:08;18.3
HK4003U;2019-03-12 10:59;18.29
HK4003U;2019-03-07 08:50;18.34
HK4003U;2019-03-05 12:36;18.26
HK4003U;2019-03-04 12:40;18.21
HK4003U;2019-03-01 11:52;18.18
HK4003U;2019-02-28 14:02;18.2
HK4003U;2019-02-26 09:46;18.21
HK4003U;2019-02-25 11:43;18.22
HK4003U;2019-02-22 12:15;18.26
HK4003U;2019-02-19 11:31;18.19
HK4003U;2019-02-19 10:12;18.19
HK4003U;2019-02-12 10:15;18.26
HK4003U;2019-02-05 10:22;18.09
HK4003U;2019-01-29 10:45;18.08
HK4003U;2019-01-24 09:54;18.11
HK4003U;2019-01-22 10:10;18.14
HK4003U;2019-01-15 10:48;18.14
HK4003U;2019-01-09 08:31;18.13
HK4003U;2019-01-02 10:03;18.05
HK4003U;2018-12-18 09:04;18.15
HK4003U;2018-12-17 13:35;18.16
HK4003U;2018-12-10 09:04;18.28
HK4003U;2018-12-04 10:54;17.97
HK4003U;2018-11-27 09:23;18.07
HK4003U;2018-11-22 14:11;18.1
HK4003U;2018-11-19 11:01;18.13
HK4003U;2018-11-12 09:02;18.13
HK4003U;2018-11-05 12:23;18.08
HK4003U;2018-10-29 09:13;18.06
HK4003U;2018-10-22 10:09;18.02
HK4003U;2018-10-17 12:38;18.05
HK4003U;2018-10-09 11:45;18.1
HK4003U;2018-10-09 11:13;18.12
HK4003U;2018-10-02 12:48;18.05
HK4003U;2018-09-25 13:38;18.04
HK4003U;2018-09-21 10:57;18.08
HK4003U;2018-09-18 14:20;18.11
HK4003U;2018-09-13 14:07;18.07
HK4003U;2018-09-04 10:00;17.85
HK4003U;2018-08-28 11:34;17.88
HK4003U;2018-08-21 12:26;17.8
HK4003U;2018-08-16 11:15;17.74
HK4003U;2018-08-16 10:44;17.73
HK4003U;2018-08-08 11:53;17.6
HK4003U;2018-08-01 13:55;17.63
HK4003U;2018-07-12 11:41;17.72
HK4003U;2018-06-15 15:19;17.82
HK4003U;2018-05-15 11:05;18.07
HK4003U;2018-04-13 14:10;18.16
HK4003U;2018-03-15 13:06;18.13
HK4003U;2018-02-21 15:42;18.21
HK4003U;2018-01-05 00:00;18.31
HK4003U;2017-12-05 00:00;18.21
HK4003U;2017-11-13 00:00;18.17
HK4003U;2017-10-13 00:00;18.16
HK4003U;2017-09-28 00:00;17.94
HK4003U;2017-08-10 12:00;17.9
HK4003U;2017-07-05 12:00;17.97
