Datum,Tmean,Tmin,Tmax,RHmean,Rs,Windmean
1983-01-01,,,,,0.72936,
1983-01-02,,,,,1.2636,
1983-01-03,,,,,0.85032,
1983-01-04,,,,,1.09188,
1983-01-05,,,,,1.50408,
1983-01-06,,,,,0.2412,
1983-01-07,,,,,0.8244,
1983-01-08,,,,,1.10736,
1983-01-09,,,,,0.4266,
1983-01-10,,,,,1.67184,
1983-01-11,,,,,0.324,
1983-01-12,,,,,0.6876,
1983-01-13,,,,,0.414,
1983-01-14,,,,,2.00808,
1983-01-15,,,,,1.96596,
1983-01-16,,,,,0.6335999999999999,
1983-01-17,,,,,0.95472,
1983-01-18,,,,,1.30392,
1983-01-19,,,,,2.2096799999999996,
1983-01-20,,,,,1.44468,
1983-01-21,,,,,1.944,
1983-01-22,,,,,1.6466399999999999,
1983-01-23,,,,,1.6599599999999999,
1983-01-24,,,,,0.6336,
1983-01-25,,,,,1.3283999999999998,
1983-01-26,,,,,2.3547599999999997,
1983-01-27,,,,,0.44279999999999997,
1983-01-28,,,,,2.799,
1983-01-29,,,,,0.6264,
1983-01-30,,,,,2.80584,
1983-01-31,,,,,1.2567599999999999,
1983-02-01,,,,,0.5148,
1983-02-02,,,,,3.00888,
1983-02-03,,,,,3.9585600000000003,
1983-02-04,,,,,4.21488,
1983-02-05,,,,,2.06496,
1983-02-06,,,,,2.03472,
1983-02-07,,,,,2.205,
1983-02-08,,,,,3.74076,
1983-02-09,,,,,1.8406799999999999,
1983-02-10,,,,,2.72484,
1983-02-11,,,,,3.1517999999999997,
1983-02-12,,,,,5.34168,
1983-02-13,,,,,4.62456,
1983-02-14,,,,,3.63888,
1983-02-15,,,,,3.89952,
1983-02-16,,,,,5.9832,
1983-02-17,,,,,6.40512,
1983-02-18,,,,,6.53724,
1983-02-19,,,,,6.85548,
1983-02-20,,,,,6.17544,
1983-02-21,,,,,7.092359999999999,
1983-02-22,,,,,5.38092,
1983-02-23,,,,,7.6428,
1983-02-24,,,,,7.57152,
1983-02-25,,,,,7.52868,
1983-02-26,,,,,3.75804,
1983-02-27,,,,,2.84292,
1983-02-28,,,,,2.8656,
1983-03-01,,,,,6.98508,
1983-03-02,,,,,2.82996,
1983-03-03,,,,,5.07636,
1983-03-04,,,,,2.50308,
1983-03-05,,,,,4.3919999999999995,
1983-03-06,,,,,6.35832,
