Mätobjekt;date2;Värde [L/min];E04-02;;;date3;;E04-03;;;date4;;E04-04;;;date5;;E04-05;;;date6;;E04-06;;;date7;;E04-07;;;date8;;E04-08
E04-02;2019-07-15;1.11;1.6;;E04-03;2019-08-26;1.85;2.66;;E04-04;2019-10-07;6.1;8.78;;E04-05;2020-01-27;5.45;7.85;;E04-06;2020-03-23;0.21;0.3;;E04-07;2020-07-27;2.02;2.91;;E04-08;2020-10-19;5.02;7.23
E04-02;2019-08-26;0.63;0.91;;E04-03;2019-09-23;1.18;1.7;;E04-04;2019-11-18;7.69;11.08;;E04-05;2020-02-09;11.83;17.04;;E04-06;2020-04-06;0.43;0.62;;E04-07;2020-08-10;4.24;6.11;;E04-08;2020-11-02;1.47;2.12
E04-02;2019-09-23;0.51;0.73;;E04-03;2019-10-07;1.19;1.71;;E04-04;2019-12-02;7.94;11.43;;E04-05;2020-02-29;18.62;26.81;;E04-06;2020-04-20;0.55;0.79;;E04-07;2020-08-24;3.55;5.11;;E04-08;2020-11-23;2.75;3.96
E04-02;2019-10-07;0.43;0.62;;E04-03;2019-11-18;1.31;1.89;;E04-04;2019-12-16;5.12;7.37;;E04-05;2020-03-09;6.81;9.81;;E04-06;2020-05-04;0;0;;E04-07;2020-09-07;7.23;10.41;;E04-08;2020-11-30;2.4;3.46
E04-02;2019-11-18;0.77;1.11;;E04-03;2019-12-02;1.31;1.89;;E04-04;2020-01-13;0.5;0.72;;E04-05;2020-03-23;10.03;14.44;;E04-06;2020-05-18;0;0;;E04-07;2020-09-21;1.58;2.28;;E04-08;2020-12-14;2.43;3.5
E04-02;2019-12-02;0.62;0.9;;E04-03;2019-12-16;0.6;0.86;;E04-04;2020-01-27;10.38;14.95;;E04-05;2020-04-06;13.68;19.7;;E04-06;2020-06-01;0.52;0.75;;E04-07;2020-10-05;4.77;6.87;;E04-08;2021-01-05;3.28;4.72
E04-02;2019-12-16;0.73;1.04;;E04-03;2020-01-13;0.5;0.72;;E04-04;2020-02-09;4.35;6.26;;E04-05;2020-04-20;12.13;17.47;;E04-06;2020-06-15;0.52;0.75;;E04-07;2020-10-19;0;0;;E04-08;2021-01-11;2.75;3.96
E04-02;2020-01-13;0.2;0.29;;E04-03;2020-01-27;0.87;1.25;;E04-04;2020-02-29;4.6;6.62;;E04-05;2020-04-22;12.54;18.06;;E04-06;2020-06-29;0.36;0.52;;E04-07;2020-11-02;5.36;7.72;;E04-08;2021-01-25;3.21;4.62
E04-02;2020-01-27;1.01;1.45;;E04-03;2020-02-09;0.79;1.14;;E04-04;2020-03-09;3.54;5.1;;E04-05;2020-05-04;13.5;19.44;;E04-06;2020-07-14;0.58;0.84;;E04-07;2020-11-23;5.91;8.51;;E04-08;2021-02-08;2.52;3.63
E04-02;2020-02-09;1.64;2.36;;E04-03;2020-02-29;0.21;0.3;;E04-04;2020-03-23;6.05;8.71;;E04-05;2020-05-18;16.5;23.76;;E04-06;2020-07-27;1.23;1.77;;E04-07;2020-11-30;5.7;8.21;;E04-08;2021-01-22;5.48;7.89
