"ID";"Date";"Value"
"179_2";"2020-06-22";"12.514"
"179_2";"2020-06-22";"12.513"
"179_2";"2020-06-22";"12.513"
"179_2";"2020-06-22";"12.512"
"179_2";"2020-06-22";"12.512"
"179_2";"2020-06-23";"12.511"
"179_2";"2020-06-23";"12.511"
"179_2";"2020-06-23";"12.51"
"179_2";"2020-06-23";"12.51"
"179_2";"2020-06-23";"12.51"
"179_2";"2020-06-23";"12.509"
"179_2";"2020-06-24";"12.508"
"179_2";"2020-06-24";"12.508"
"179_2";"2020-06-24";"12.507"
"179_2";"2020-06-24";"12.507"
"179_2";"2020-06-24";"12.507"
"179_2";"2020-06-24";"12.507"
"179_2";"2020-06-25";"12.506"
"179_2";"2020-06-25";"12.506"
"179_2";"2020-06-25";"12.506"
"179_2";"2020-06-25";"12.506"
"179_2";"2020-06-25";"12.506"
"179_2";"2020-06-25";"12.506"
"179_2";"2020-06-26";"12.505"
"179_2";"2020-06-26";"12.505"
"179_2";"2020-06-26";"12.505"
"179_2";"2020-06-26";"12.506"
"179_2";"2020-06-26";"12.505"
"179_2";"2020-06-26";"12.506"
"179_2";"2020-06-27";"12.506"
"179_2";"2020-06-27";"12.506"
"179_2";"2020-06-27";"12.507"
"179_2";"2020-06-27";"12.507"
"179_2";"2020-06-27";"12.508"
"179_2";"2020-06-27";"12.508"
"179_2";"2020-06-28";"12.508"
"179_2";"2020-06-28";"12.508"
"179_2";"2020-06-28";"12.509"
"179_2";"2020-06-28";"12.509"
"179_2";"2020-06-28";"12.51"
"179_2";"2020-06-28";"12.511"
"179_2";"2020-06-29";"12.51"
"179_2";"2020-06-29";"12.512"
"179_2";"2020-06-29";"12.513"
"179_2";"2020-06-29";"12.513"
"179_2";"2020-06-29";"12.515"
"179_2";"2020-06-29";"12.515"
"179_2";"2020-06-30";"12.516"
"179_2";"2020-06-30";"12.517"
"179_2";"2020-06-30";"12.517"
"179_2";"2020-06-30";"12.517"
"179_2";"2020-06-30";"12.518"
"179_2";"2020-06-30";"12.519"
"179_2";"2020-07-01";"12.519"
"179_2";"2020-07-01";"12.519"
"179_2";"2020-07-01";"12.52"
"179_2";"2020-07-01";"12.52"
"179_2";"2020-07-01";"12.519"
"179_2";"2020-07-01";"12.52"
